# mapping_set_id: https://github.com/whoficitc/harmonization/blob/main/ICF-ICD-anatomy-v1.tsv
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_date: '2022-12-01'
# mapping_set_description: Manually curated mapping  of ICF Body Structures
#   and ICD-11 Anatomic Detail (from the Extension codes)
#   made within the harmonization effort of the WHO Family of International Classifications
# mapping_set_version: '2022-12-01'
# author_id: "orcid:0000-0002-0319-3579|orcid:0000-0002-0075-5652|orcid:0000-0001-7320-2947|orcid:0000-0002-0295-7821|orcid:0000-0002-0144-3802"
# subject_source: https://apps.who.int/classifications/icfbrowser/
# subject_source_version: "ICF 2017"
# object_source: https://id.who.int/icd/entity/
# object_source_version: https://id.who.int/icd/entity?releaseId=2022-02
# comment: Experimental mappings generated for the harmonization between ICF Body Structures and ICD-11 Anatomic Detail. 
# Not for use in real coding applications.
# curie_map:
#   ICF: http://id.who.int/icd/release/11/beta/icf/
#   ICD: https://id.who.int/icd/entity/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
ICF:1419635799	Structures of the nervous system	skos:ExactMatch	ICD:340179422	Nervous system	semapv:ManualMappingCuration
ICF:634949825	Structure of brain	skos:ExactMatch	ICD:1048482858	Brain	semapv:ManualMappingCuration
ICF:920457524	Structure of cortical lobes	skos:ExactMatch	ICD:289527694	Cerebral lobe	semapv:ManualMappingCuration
ICF:920457524	Structure of cortical lobes	skos:NarrowMatch	ICD:1805742970	Cerebral cortex	semapv:ManualMappingCuration
ICF:885972928	Frontal lobe	skos:ExactMatch	ICD:55403270	Frontal Lobe	semapv:ManualMappingCuration
ICF:602323840	Temporal lobe	skos:ExactMatch	ICD:1220842694	Temporal lobe	semapv:ManualMappingCuration
ICF:446568000	Parietal lobe	skos:ExactMatch	ICD:342165446	Parietal Lobe	semapv:ManualMappingCuration
ICF:230060800	Occipital lobe	skos:ExactMatch	ICD:1609363462	Occipital lobe	semapv:ManualMappingCuration
ICF:569734644	Structure of midbrain	skos:ExactMatch	ICD:698519726	Midbrain	semapv:ManualMappingCuration
ICF:411949236	Structure of diencephalon	skos:NarrowMatch	ICD:1191455647	Supratentorial region of brain	semapv:ManualMappingCuration
ICF:411949236	Structure of diencephalon	skos:BroadMatch	ICD:634038213	Thalamus	semapv:ManualMappingCuration
ICF:262519924	Basal ganglia and related structures	skos:BroadMatch	ICD:1532217902	Basal ganglia	semapv:ManualMappingCuration
ICF:1786544692	Structure of cerebellum	skos:ExactMatch	ICD:976604742	Cerebellum	semapv:ManualMappingCuration
ICF:2102716148	Structure of brain stem	skos:ExactMatch	ICD:282738158	Brainstem	semapv:ManualMappingCuration
ICF:588438328	Medulla oblongata	skos:ExactMatch	ICD:1283174126	Medulla	semapv:ManualMappingCuration
ICF:876265464	Pons	skos:ExactMatch	ICD:1049293934	Pons	semapv:ManualMappingCuration
ICF:1143753652	Structure of cranial nerves	skos:ExactMatch	ICD:2108063439	Cranial Nerve	semapv:ManualMappingCuration
ICF:2110142953	Spinal cord and related structures	skos:BroadMatch	ICD:1150229943	Spinal cord	semapv:ManualMappingCuration
