subject_id	subject	target	target title	AHA review 2 after Comments from AM
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/1704022864	Lymphatic vessel of the pinna	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/392169936	Lymphatic vessel of the scalp	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/1418290215	Lymphatic vessel of the tongue	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/2138601960	Deep lymphatic vessel	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/2120652687	Median lymphatic vessel	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/1345740303	Radial lymphatic vessel	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/1750080808	Superficial lymphatic vessel	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/1193163471	Ulnar lymphatic vessel	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/1766781775	Volar lymphatic vessel	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/647810371	Lymphatic vessel of the diaphragm	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/1128657667	Lymphatic vessel of the breast	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/1271990642	Lymphatic vessel of the thoracic viscera	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/475461985	Lymphatic vessel of the caecum	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/623793185	Lymphatic vessel of the colon	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/1474236065	Lymphatic vessel of the duodenum	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/1856480225	Lymphatic vessel of the ileum	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/2039465761	Lymphatic vessel of the jejunum	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/123035130	Lymphatic vessel of the kidney	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/839266529	Lymphatic vessel of the liver	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/174093254	Lymphatic vessel of the pancreas	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/688231546	Lymphatic vessel of the spleen	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/1670548959	Lymphatic vessel of the stomach	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/1075026309	Lymphatic vessel of the anus	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/1527790876	Lymphatic vessel of the bladder	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/1651019868	Lymphatic vessel of the prostate	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/1849905157	Lymphatic vessel of the rectum	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/702637980	Lymphatic vessel of the testes	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/2020989604	Lymphatic vessel of the ureter	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/129084956	Lymphatic vessel of the urethra	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/491263750	Lymphatic vessel of the gallbladder	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/192847265	Lymphatic vessel of the vermiform process	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/278514396	Lymphatic vessel of the reproductive organs	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/1868414564	Lymphatic vessel of the urinary organ	br
http://id.who.int/icd/entity/2129704269	"Lymphatic vessel, other and unspecified"	http://id.who.int/icd/entity/710147840	Lymphatic vessels of the skin and muscles of the neck	br
