ID,CPC21Code21code,CPC21Code21title,CPC21Code21ExplanatoryNote
1,CPC21Code0,"0","0. 0. Agriculture, forestry and fishery products","0. Agriculture, forestry and fishery products","Agriculture, forestry and fishery products",
2,CPC21Code01,"01","01. 01. Products of agriculture, horticulture and market gardening","01. Products of agriculture, horticulture and market gardening","Products of agriculture, horticulture and market gardening",
3,CPC21Code011,"011","011. Cereals","Cereals","This group includes cereals, i.e. annual plants, generally of the gramineous family, yielding grains or seeds used as such, or processed, for food, feed, seed and industrial purposes, e.g., ethanol. The denomination ""cereals"" should be limited to crops harvested for their dry grains only.The subclasses labeled for seeds contain cereals grown specifically as seeds, whether or not processed. These seeds usually must fulfill certain quality requirements. Cereals not grown specifically for seed purposes should be classified as ""other"", even though some portion of the yield may be used as seed by the farmer."
4,CPC21Code0111,"0111","0111. Wheat","Wheat",
5,CPC21Code01111,"01111","01111. Wheat, seed","Wheat, seed","This subclass includes:- wheat, species of <i>Triticum</i>, mainly <i>aestivum</i> and <i>durum</i>, and meslin grown specifically for seed purposes, whether or not processed. Meslin is a mixture of wheat and rye, generally in proportions of two to one.This subclass does not include:- wheat not grown specifically for seed purposes, cf. 01112"
6,CPC21Code01112,"01112","01112. Wheat, other","Wheat, other","This subclass includes:- wheat, species of <i>Triticum</i>, mainly <i>aestivum</i> and <i>durum</i>, including common wheat of the following kinds: * spring wheat* winter wheat* hard wheat* soft wheat* red and white wheat* durum wheat- meslin (a mixture of wheat and rye, generally in proportions of two to one).This subclass does not include:msng - wheat grown specifically for seed purposes, cf. 01111"
7,CPC21Code0112,"0112","0112. Maize (corn)","Maize (corn)","This class includes:- maize harvested for their dry grains only"
8,CPC21Code01121,"01121","01121. Maize (corn), seed","Maize (corn), seed",
9,CPC21Code01122,"01122","01122. Maize (corn), other","Maize (corn), other",
10,CPC21Code0113,"0113","0113. Rice","Rice",
11,CPC21Code01131,"01131","01131. Rice, seed","Rice, seed","This subclass includes:- rice, species of <i>Oryza</i>, mainly <i>Oryza sativa</i>, not husked, grown specifically for seed purposes, whether or not processedThis subclass does not include:- rice not grown specifically for seed purposes, cf. 01132"
12,CPC21Code01132,CPC21Code01132,"01132","01132. Rice paddy, other (not husked)","Rice paddy, other (not husked)","This subclass includes:- rice, species of <i>Oryza</i>, mainly <i>Oryza sativa</i>, not huskedThis subclass does not include:- rice grown specifically for seed purposes, cf. 01131- semi-milled or wholly milled rice, whether or not polished or glazed, cf. 23161- broken rice, cf. 23161- husked rice, cf. 23162"
13,CPC21Code0114,"0114","0114. Sorghum","Sorghum",
14,CPC21Code01141,"01141","01141. Sorghum, seed","Sorghum, seed","This subclass includes:- sorghum, species of <i>Sorghum</i>, grown specifically for seed purposes, whether or not processedThis subclass does not include:- sorghum not grown specifically for seed purposes, cf. 01142- sweet sorghum, <i>Sorghum saccharatum</i>, cf. 01809"
15,CPC21Code01142,"01142","01142. Sorghum, other","Sorghum, other","This subclass includes:- sorghum, species of <i>Sorghum</i>, mainly <i>vulgare, guineense, dura</i>This subclass does not include:- sorghum grown specifically for seed purposes, cf. 01141- sweet sorghum, <i>Sorghum saccharatum</i>, cf. 01809"
16,CPC21Code0115,"0115","0115. Barley","Barley",
17,CPC21Code01151,"01151","01151. Barley, seed","Barley, seed","This subclass includes:- barley, species of <i>Hordeum</i>, grown specifically for seed purposes, whether or not processedThis subclass does not include:- barley not grown specifically for seed purposes, cf. 01152"
18,CPC21Code01152,"01152","01152. Barley, other","Barley, other","This subclass includes:- barley, species of <i>Hordeum</i>, mainly <i>vulgare, disticum, hexastichon</i>This subclass does not include:- barley grown specifically for seed purposes, cf. 01151"
19,CPC21Code0116,"0116","0116. Rye","Rye",
20,CPC21Code01161,"01161","01161. Rye, seed","Rye, seed","This subclass includes:- rye, <i>Secale cereale</i>, grown specifically for seed purposes, whether or not processedThis subclass does not include:- rye not grown specifically for seed purposes, cf. 01162"
21,CPC21Code01162,"01162","01162. Rye, other","Rye, other","This subclass includes:- rye, <i>Secale cereale</i>This subclass does not include:- rye grown specifically for seed purposes, cf. 01161"
22,CPC21Code0117,"0117","0117. Oats","Oats",
23,CPC21Code01171,"01171","01171. Oats, seed","Oats, seed","This subclass includes:- oats, species of <i>Avena</i>, grown specifically for seed purposes, whether or not processedThis subclass does not include:- oats not grown specifically for seed purposes, cf. 01172"
24,CPC21Code01172,"01172","01172. Oats, other","Oats, other","This subclass includes:- oats, species of <i>Avena</i>, mainly <i>A. sativa</i>This subclass does not include:- oats grown specifically for seed purposes, cf. 01171"
25,CPC21Code0118,"0118","0118. Millet","Millet",
26,CPC21Code01181,"01181","01181. Millet, seed","Millet, seed","This subclass includes:- millet, inter alia <i>Echinochloa frumentacea</i>, <i>Eleusine coracana</i>, <i>Panicum miliaceum</i>, <i>Paspalum scrobiculatum</i>, <i>Pennisetum glaucum</i> and <i>Setaria italica</i>, with many different local names, grown specifically for seed purposes, whether or not processedThis subclass does not include:- millet not grown specifically for seed purposes, cf. 01182- teff (<i>Eragrostis abyssinica)</i>, cf. 01199"
27,CPC21Code01182,"01182","01182. Millet, other","Millet, other","This subclass includes:- millet, inter alia <i>Echinochloa frumentacea</i>, <i>Eleusine coracana</i>,<i> Panicum miliaceum</i>, <i>Paspalum scrobiculatum</i>, <i>Pennisetum glaucum</i> and <i>Setaria italica</i>, with many different local namesThis subclass does not include:- any of the above mentioned items when grown specifically for seed purposes, cf. 01181- teff (<i>Eragrostis abyssinica)</i>, cf. 01199"
28,CPC21Code0119,"0119","0119. Other cereals","Other cereals",
30,CPC21Code01191,"01191","01191. Triticale","Triticale",
31,CPC21Code01192,"01192","01192. Buckwheat","Buckwheat",
32,CPC21Code01193,"01193","01193. Fonio","Fonio",
33,CPC21Code01194,"01194","01194. Quinoa","Quinoa",
34,CPC21Code01195,"01195","01195. Canary seed","Canary seed",
