ID,CPC21code,CPC21title,CPC21ExplanatoryNote
1,"0","Agriculture, forestry and fishery products",
2,"01","Products of agriculture, horticulture and market gardening",
3,"011","Cereals","This group includes cereals, i.e. annual plants, generally of the gramineous family, yielding grains or seeds used as such, or processed, for food, feed, seed and industrial purposes, e.g., ethanol. The denomination ""cereals"" should be limited to crops harvested for their dry grains only.The subclasses labeled for seeds contain cereals grown specifically as seeds, whether or not processed. These seeds usually must fulfill certain quality requirements. Cereals not grown specifically for seed purposes should be classified as ""other"", even though some portion of the yield may be used as seed by the farmer."
4,"0111","Wheat",
5,"01111","Wheat, seed","This subclass includes:- wheat, species of <i>Triticum</i>, mainly <i>aestivum</i> and <i>durum</i>, and meslin grown specifically for seed purposes, whether or not processed. Meslin is a mixture of wheat and rye, generally in proportions of two to one.This subclass does not include:- wheat not grown specifically for seed purposes, cf. 01112"
6,"01112","Wheat, other","This subclass includes:- wheat, species of <i>Triticum</i>, mainly <i>aestivum</i> and <i>durum</i>, including common wheat of the following kinds: * spring wheat* winter wheat* hard wheat* soft wheat* red and white wheat* durum wheat- meslin (a mixture of wheat and rye, generally in proportions of two to one).This subclass does not include:msng - wheat grown specifically for seed purposes, cf. 01111"
7,"0112","Maize (corn)","This class includes:- maize harvested for their dry grains only"
8,"01121","Maize (corn), seed",
9,"01122","Maize (corn), other",
10,"0113","Rice",
11,"01131","Rice, seed","This subclass includes:- rice, species of <i>Oryza</i>, mainly <i>Oryza sativa</i>, not husked, grown specifically for seed purposes, whether or not processedThis subclass does not include:- rice not grown specifically for seed purposes, cf. 01132"
12,"01132","Rice paddy, other (not husked)","This subclass includes:- rice, species of <i>Oryza</i>, mainly <i>Oryza sativa</i>, not huskedThis subclass does not include:- rice grown specifically for seed purposes, cf. 01131- semi-milled or wholly milled rice, whether or not polished or glazed, cf. 23161- broken rice, cf. 23161- husked rice, cf. 23162"
13,"0114","Sorghum",
14,"01141","Sorghum, seed","This subclass includes:- sorghum, species of <i>Sorghum</i>, grown specifically for seed purposes, whether or not processedThis subclass does not include:- sorghum not grown specifically for seed purposes, cf. 01142- sweet sorghum, <i>Sorghum saccharatum</i>, cf. 01809"
